time,Exc,Pre,_20,_50,_100,,Excf,Pref,_20f,_50f,_100f,,sExcf,sPref,s_20f,s_50f,s_100f
125,0.022677,0.344705,0.399415,0.337966,0.360899,,0.22677,3.44705,3.99415,3.37966,3.60899,,254.37024,333.72251,289.45035,282.90616,225.09774
126,0.021222,-0.054499,0.434671,0.330977,0.350745,,0.21222,-0.54499,4.34671,3.30977,3.50745,,254.58246,333.17752,293.79706,286.21593,228.60519
127,0.030954,0.302866,0.393088,0.324058,0.342798,,0.30954,3.02866,3.93088,3.24058,3.42798,,254.892,336.20618,297.72794,289.45651,232.03317
128,0.055372,-0.094942,0.347298,0.325358,0.322134,,0.55372,-0.94942,3.47298,3.25358,3.22134,,255.44572,335.25676,301.20092,292.71009,235.25451
129,0.042139,0.265313,0.42475,0.323991,0.308568,,0.42139,2.65313,4.2475,3.23991,3.08568,,255.86711,337.90989,305.44842,295.95,238.34019
130,0.04581,-0.1133,0.537515,0.316789,0.301231,,0.4581,-1.133,5.37515,3.16789,3.01231,,256.32521,336.77689,310.82357,299.11789,241.3525
131,0.026208,0.252806,0.486889,0.309159,0.295289,,0.26208,2.52806,4.86889,3.09159,2.95289,,256.58729,339.30495,315.69246,302.20948,244.30539
132,0.011594,-0.128731,0.43528,0.286522,0.297895,,0.11594,-1.28731,4.3528,2.86522,2.97895,,256.70323,338.01764,320.04526,305.0747,247.28434
133,0.057416,0.253681,0.361173,0.313244,0.300372,,0.57416,2.53681,3.61173,3.13244,3.00372,,257.27739,340.55445,323.65699,308.20714,250.28806
134,0.041581,-0.103657,0.459921,0.299832,0.292359,,0.41581,-1.03657,4.59921,2.99832,2.92359,,257.6932,339.51788,328.2562,311.20546,253.21165
135,0.023698,0.299882,0.436013,0.292337,0.287039,,0.23698,2.99882,4.36013,2.92337,2.87039,,257.93018,342.5167,332.61633,314.12883,256.08204
136,0.046446,-0.073466,0.405898,0.290214,0.278023,,0.46446,-0.73466,4.05898,2.90214,2.78023,,258.39464,341.78204,336.67531,317.03097,258.86227
137,0.029166,0.325778,0.420091,0.288067,0.250207,,0.29166,3.25778,4.20091,2.88067,2.50207,,258.6863,345.03982,340.87622,319.91164,261.36434
138,0.019118,-0.057517,0.403975,0.284287,0.283295,,0.19118,-0.57517,4.03975,2.84287,2.83295,,258.87748,344.46465,344.91597,322.75451,264.19729
139,-0.013403,0.37034,0.38233,0.274875,0.275579,,-0.13403,3.7034,3.8233,2.74875,2.75579,,258.74345,348.16805,348.73927,325.50326,266.95308
140,-0.014859,-0.027763,0.366915,0.284822,0.272049,,-0.14859,-0.27763,3.66915,2.84822,2.72049,,258.59486,347.89042,352.40842,328.35148,269.67357
141,-0.022925,0.399355,-0.98146,0.279161,0.276178,,-0.22925,3.99355,-9.8146,2.79161,2.76178,,258.36561,351.88397,342.59382,331.14309,272.43535
142,0.02671,-0.020494,-0.424362,0.266596,0.277636,,0.2671,-0.20494,-4.24362,2.66596,2.77636,,258.63271,351.67903,338.3502,333.80905,275.21171
143,0.020025,0.413303,-0.091412,0.251498,0.276358,,0.20025,4.13303,-0.91412,2.51498,2.76358,,258.83296,355.81206,337.43608,336.32403,277.97529
144,-0.004077,-0.023617,0.242073,0.233644,0.266975,,-0.04077,-0.23617,2.42073,2.33644,2.66975,,258.79219,355.57589,339.85681,338.66047,280.64504
145,-0.013503,0.451505,0.426303,0.261823,0.25362,,-0.13503,4.51505,4.26303,2.61823,2.5362,,258.65716,360.09094,344.11984,341.2787,283.18124
146,-0.017242,0.001142,0.469703,0.258629,0.271173,,-0.17242,0.01142,4.69703,2.58629,2.71173,,258.48474,360.10236,348.81687,343.86499,285.89297
147,-0.010584,0.452635,0.422996,0.239236,0.261096,,-0.10584,4.52635,4.22996,2.39236,2.61096,,258.3789,364.62871,353.04683,346.25735,288.50393
148,-0.006641,-0.015309,0.376277,0.22345,0.245112,,-0.06641,-0.15309,3.76277,2.2345,2.45112,,258.31249,364.47562,356.8096,348.49185,290.95505
149,0.001311,0.443208,0.50593,0.250587,0.229831,,0.01311,4.43208,5.0593,2.50587,2.29831,,258.3256,368.9077,361.8689,350.99772,293.25336
150,-0.006194,0.005101,0.484283,0.241833,0.217766,,-0.06194,0.05101,4.84283,2.41833,2.17766,,258.26366,368.95871,366.71173,353.41605,295.43102
151,0.026525,0.473823,0.44161,-1.545985,0.242128,,0.26525,4.73823,4.4161,-15.45985,2.42128,,258.52891,373.69694,371.12783,337.9562,297.8523
152,0.015075,-0.015096,0.421654,-0.677934,0.231546,,0.15075,-0.15096,4.21654,-6.77934,2.31546,,258.67966,373.54598,375.34437,331.17686,300.16776
153,0.006252,0.460017,0.426604,-0.171794,0.221363,,0.06252,4.60017,4.26604,-1.71794,2.21363,,258.74218,378.14615,379.61041,329.45892,302.38139
154,0.018012,0.006338,0.412807,0.062739,0.210267,,0.18012,0.06338,4.12807,0.62739,2.10267,,258.9223,378.20953,383.73848,330.08631,304.48406
155,0.054566,0.490336,0.436372,0.121784,0.231207,,0.54566,4.90336,4.36372,1.21784,2.31207,,259.46796,383.11289,388.1022,331.30415,306.79613
156,0.044677,-0.010615,0.419683,0.169113,0.224448,,0.44677,-0.10615,4.19683,1.69113,2.24448,,259.91473,383.00674,392.29903,332.99528,309.04061
157,0.032378,0.474936,0.39975,0.188037,0.214726,,0.32378,4.74936,3.9975,1.88037,2.14726,,260.23851,387.7561,396.29653,334.87565,311.18787
158,0.033692,0.020057,0.385032,0.227055,0.199729,,0.33692,0.20057,3.85032,2.27055,1.99729,,260.57543,387.95667,400.14685,337.1462,313.18516
159,0.028739,0.506598,0.362763,0.274209,0.192995,,0.28739,5.06598,3.62763,2.74209,1.92995,,260.86282,393.02265,403.77448,339.88829,315.11511
160,0.041711,0.004174,0.353435,0.339928,0.18933,,0.41711,0.04174,3.53435,3.39928,1.8933,,261.27993,393.06439,407.30883,343.28757,317.00841
161,0.034267,0.488523,-0.975013,0.375236,0.223138,,0.34267,4.88523,-9.75013,3.75236,2.23138,,261.6226,397.94962,397.5587,347.03993,319.23979
162,0.039368,0.03205,-0.416503,0.380488,0.221469,,0.39368,0.3205,-4.16503,3.80488,2.21469,,262.01628,398.27012,393.39367,350.84481,321.45448
163,0.056184,0.528284,-0.079464,0.372023,0.20729,,0.56184,5.28284,-0.79464,3.72023,2.0729,,262.57812,403.55296,392.59903,354.56504,323.52738
164,0.077885,0.023267,0.251279,0.454169,0.197854,,0.77885,0.23267,2.51279,4.54169,1.97854,,263.35697,403.78563,395.11182,359.10673,325.50592
165,0.056825,0.509773,0.429337,0.453549,0.194203,,0.56825,5.09773,4.29337,4.53549,1.94203,,263.92522,408.88336,399.40519,363.64222,327.44795
166,0.052412,0.005088,0.468223,0.483166,0.140651,,0.52412,0.05088,4.68223,4.83166,1.40651,,264.44934,408.93424,404.08742,368.47388,328.85446
167,0.049193,0.474041,0.433302,0.471635,0.15489,,0.49193,4.74041,4.33302,4.71635,1.5489,,264.94127,413.67465,408.42044,373.19023,330.40336
168,0.053979,-0.018661,0.393574,0.453572,0.144807,,0.53979,-0.18661,3.93574,4.53572,1.44807,,265.48106,413.48804,412.35618,377.72595,331.85143
169,0.055375,0.442244,0.508395,0.436577,0.138903,,0.55375,4.42244,5.08395,4.36577,1.38903,,266.03481,417.91048,417.44013,382.09172,333.24046
170,0.063264,-0.0237,0.490551,0.413284,0.130016,,0.63264,-0.237,4.90551,4.13284,1.30016,,266.66745,417.67348,422.34564,386.22456,334.54062
171,0.087178,0.418353,0.445323,0.428325,0.150369,,0.87178,4.18353,4.45323,4.28325,1.50369,,267.53923,421.85701,426.79887,390.50781,336.04431
172,0.070196,-0.040882,0.413899,0.414245,0.199045,,0.70196,-0.40882,4.13899,4.14245,1.99045,,268.24119,421.44819,430.93786,394.65026,338.03476
173,0.073222,0.354202,0.404753,0.399997,0.158573,,0.73222,3.54202,4.04753,3.99997,1.58573,,268.97341,424.99021,434.98539,398.65023,339.62049
174,0.06257,-0.015117,0.409765,0.376076,0.159847,,0.6257,-0.15117,4.09765,3.76076,1.59847,,269.59911,424.83904,439.08304,402.41099,341.21896
175,0.06758,0.288905,0.394262,0.357799,0.204064,,0.6758,2.88905,3.94262,3.57799,2.04064,,270.27491,427.72809,443.02566,405.98898,343.2596
176,0.067351,-0.112029,0.39036,0.346776,0.240027,,0.67351,-1.12029,3.9036,3.46776,2.40027,,270.94842,426.6078,446.92926,409.45674,345.65987
177,0.069331,0.270878,0.391488,0.337458,0.180656,,0.69331,2.70878,3.91488,3.37458,1.80656,,271.64173,429.31658,450.84414,412.83132,347.46643
178,0.081788,-0.13351,0.41455,0.338809,0.168964,,0.81788,-1.3351,4.1455,3.38809,1.68964,,272.45961,427.98148,454.98964,416.21941,349.15607
179,0.064965,0.254288,0.400198,0.334893,0.165826,,0.64965,2.54288,4.00198,3.34893,1.65826,,273.10926,430.52436,458.99162,419.56834,350.81433
180,0.087168,-0.138053,0.378374,0.332287,0.193585,,0.87168,-1.38053,3.78374,3.32287,1.93585,,273.98094,429.14383,462.77536,422.89121,352.75018
181,0.068893,0.271043,-0.972477,0.327612,0.192872,,0.68893,2.71043,-9.72477,3.27612,1.92872,,274.66987,431.85426,453.05059,426.16733,354.6789
182,0.071476,-0.107208,-0.40053,0.295784,0.185372,,0.71476,-1.07208,-4.0053,2.95784,1.85372,,275.38463,430.78218,449.04529,429.12517,356.53262
183,0.087107,0.274411,-0.058626,0.322066,0.184289,,0.87107,2.74411,-0.58626,3.22066,1.84289,,276.2557,433.52629,448.45903,432.34583,358.37551
184,0.054517,-0.094114,0.272587,0.30746,0.205951,,0.54517,-0.94114,2.72587,3.0746,2.05951,,276.80087,432.58515,451.1849,435.42043,360.43502
185,0.069945,0.300998,0.426837,0.29899,0.155575,,0.69945,3.00998,4.26837,2.9899,1.55575,,277.50032,435.59513,455.45327,438.41033,361.99077
